"j_code","name","name_kana","post_code","address","tel","fax","billing_post_code","billing_address","billing_tel","billing_fax"
"006590","㈱エコー　","","","","","","241-0805","神奈川県横浜市旭区都岡町２９－２","045-952-1241",""
"007300","㈱東京三八","","","","","","182-0016","東京都調布市佐須町２－３１－１","0424-90-7738",""
"007500","日本ビーンズ㈱　","","","","","","372-0032","群馬県伊勢崎市北千木町１４３５","0270-24-8111",""
"007590","国分フードクリエイト㈱","","","","","","103-0027","東京都中央区日本橋1-2-6","03-3276-6767",""
"007610","㈱川口技研","","","","","","333-0844","埼玉県川口市上青木１－１４－４１","048-255-5411",""
"007980","伊藤ハム㈱　東京営業事業部","","","","","","277-8586","千葉県柏市根戸１－３","04-7132-3167",""
"007990","信州ハム㈱","","","","","","386-8686","長野県上田市下塩尻９５０","0268-22-8686",""
"008060","㈱サンヨー堂　東京東支店","","","","","","130-8534","東京都墨田区錦糸１－５－１４　サンヨー堂錦糸ビル５Ｆ","03-3626-3437",""
"008140","加藤産業㈱　東関東支社","","","","","","121-0816","東京都足立区梅島3丁目32番6号　第8矢野新ビル9階","03-5845-6850",""
"008700","㈱吉安","","","","","","120-0024","東京都足立区千住関屋町８－１２","03-3882-2991",""
"008790","プリマハム㈱　千葉営業所","","","","","","260-0843","千葉県千葉市中央区末広４－５－１","043-268-4186",""
"010040","三井食品㈱","","","","","","104-8277","東京都中央区八重洲２－７－２　八重洲三井ビルディング","03-3551-1303",""
"010310","㈱ヤマタネ","","","","","","135-8501","東京都江東区越中島１-２-２１　ヤマタネビル２Ｆ","03-3820-9295",""
"011390","国分首都圏㈱　","","","","","","103-8241","東京都中央区日本橋１－１－１","03-3276-4107",""
"011410","㈱日本アクセス　東日本営業部門","","","","","","141-8582","東京都品川区西品川１-１-１　住友不動産大崎ガーデンタワー","03-5435-5611",""
"012850","㈱イズミック","","","","","","460-8410","愛知県名古屋市中区栄１－７－３４","052-229-1626",""
"013120","広島共和物産㈱","","","","","","733-0833","広島県広島市西区商工センター　１－３－４","082-277-5111",""
"013490","国分首都圏㈱　","","","","","","103-8241","東京都中央区日本橋１－１－１","03-3276-4107",""
"014490","㈱関口","","","","","","322-8588","栃木県鹿沼市流通センター５８番地","0289-76-0790",""
"014510","伊藤正㈱","","","","","","430-0919","静岡県浜松市中区野口町４８６","053-461-4819",""
"014540","関口漬物食品株式会社","","","","","","157-0077","群馬県館林市近藤町1524-22","0276-75-0261",""
"014920","㈱大西商店","","","","","","133-0053","東京都江戸川区北篠崎２－６－２３","03-3670-2451",""
"015850","㈱万年商店","","","","","","838-0000","福岡県甘木市大字甘木１９５３－２","0946-22-3913",""
"015950","㈱トーホー","","","","","","158-0096","東京都世田谷区玉川台2-1-15　ベスト用賀B1","03-3410-0650",""
"017950","こいしや食品㈱","","","","","","321-0411","栃木県宇都宮市宮山田町２３５３","028-674-7800",""
"018230","コカ・コーラボトラーズジャパン㈱","","","","","","363-8601","埼玉県桶川市大字加納１８０番地","03-6773-0940",""
"019780","㈱芳屋","","","","","","110-0014","東京都台東区北上野１-４-１","03-5246-4580",""
"019870","フジパン㈱　東京工場","","","","","","340-0807","埼玉県八潮市新町３６","0489-35-0181",""
"020270","福島県酒類卸㈱　福島支店","","","","","","960-1196","福島県福島市大森字宮ノ前２５－２","0245-45-8020",""
"024260","㈱久慈食品","","","","","","335-0031","埼玉県戸田市美女木１０６８","048-421-6288",""
"024890","エコートレーディング㈱","","","","","","663-8142","兵庫県西宮市鳴尾浜２－１－２３","0798-41-8317",""
"025410","国分首都圏㈱　","","","","","","103-8241","東京都中央区日本橋１－１－１","03-3276-4107",""
"025990","㈲仲村商店","","","","","","174-0062","東京都板橋区富士見町２７－１７","03-3963-0533",""
"027350","三協","","","","","","195-0061","東京都町田市鶴川３－１５－３６","0427-36-6838",""
"030260","㈲秩父学給パンセンター","","","","","","369-1871","埼玉県秩父市下影森３１４","0494-23-5895",""
"030400","㈱マルイチ産商　長野支店","","","","","","381-0192","長野県長野市若穂川田字外新田3800番地12-1","026-085-4458",""
"032110","㈱黒瀬ペットフード","","","","","","720-2124","広島県福山市神辺町川南３９６番地の１","084-963-5005",""
"033970","㈱ウッドストック","","","","","","264-0031","千葉県千葉市若葉区愛生町８４","043-254-9200",""
"034950","三和流通産業㈱　首都圏支店","","","","","","338-0826","埼玉県さいたま市桜区大久保領家７００－１","048-857-3400",""
"035230","㈱こうじや","","","","","","311-1251","茨城県ひたちなか市山崎１２１　山崎工業団地内","029-264-2611",""
"036050","㈱カワダ","","","","","","160-0072","東京都新宿区大久保２-５-２５","03-3209-8362",""
"037100","㈱ブロード","","","","","","300-0068","茨城県土浦市西並木３７８１－２９","0298-21-2621",""
"038390","㈱池田喜平商店","","","","","","287-0003","千葉県香取市佐原イ３９３０","0478-55-1311",""
"038600","お茶の丸幸㈱","","","","","","154-0023","東京都世田谷区若林１－１８－１３","03-3413-3631",""
"038830","日配企画㈱","","","","","","334-0076","埼玉県川口市本蓮３－１２－１３","048-288-5591",""
"040290","サイキ食品㈱","","","","","","359-0005","埼玉県所沢市神米金１３２－５","0429-42-0726",""
"041150","㈱山城物産","","","","","","577-0013","大阪府東大阪市長田中５－３－１１","06-6746-8701",""
"093060","㈱越後屋商店","","","","","","114-0003","東京都北区豊島4-15-28　プレール玉石1204号","03-3911-2451",""
"043740","和以美㈱　鶴ヶ島ＤＩＹ営業所","","","","","","350-2218","埼玉県鶴ヶ島市柳戸町８－５","049-272-5760",""
"044670","サンキョーフーズ㈱","","","","","","190-0022","東京都立川市錦町１-４-１０　大栄ビル　２Ｆ","042-540-1791",""
"046030","㈱ふじや","","","","","","550-0014","大阪府大阪市西区北堀江１－４－１２","06-6532-2481",""
"046620","伊藤ハム販売㈱　関東営業部　","","","","","","183-0055","東京都府中市府中町１－１４－１　朝日生命ビル９Ｆ","042-358-2061",""
"047750","㈲タマ食品","","","","","","198-0033","東京都青梅市今井２－７３７","0428-31-3769",""
"048840","加根久㈱　鳥栖支店","","","","","","841-0027","佐賀県鳥栖市松原町１７５５－１","0942-82-5105",""
"050380","㈱オーシマ小野商事","","","","","","329-4402","栃木県栃木市大平町土与２１５","0282-22-4188",""
"050610","日本ハムマーケティング㈱","","","","","","010-0951","秋田県秋田市山王六丁目1-24　山王セントラルビル5F","018-824-6460",""
"050980","丸大食品㈱　秋田営業所","","","","","","011-0917","秋田県秋田市飯島道東３－１－１２","018-845-1322",""
"052100","㈱サゴイ","","","","","","111-0052","東京都台東区柳橋２-１６-８","03-3861-6308",""
"052170","国分フードクリエイト㈱","","","","","","103-0027","東京都中央区日本橋1-2-6","03-3276-6767",""
"052460","㈱神戸屋","","","","","","533-0014","大阪府大阪市東淀川区豊新２-１６-１４","06-6324-9620",""
"052680","朴佐藤㈱　郡山支店","","","","","","963-0541","福島県郡山市喜久田町堀之内字向原５－４","024-963-2366",""
"052940","国分首都圏㈱　","","","","","","103-8241","東京都中央区日本橋１－１－１","03-3276-4107",""
"053020","味の浜藤㈱","","","","","","135-0062","東京都江東区東雲２－１２－４","03-3527-8927",""
"053150","タカナシ販売㈱　","","","","","","252-0012","神奈川県座間市広野台2-10-7　プロロジス・パーク座間1内","046-266-0821",""
"053750","㈱ジューテック","","","","","","349-1104","埼玉県久喜市栗橋１６４３","03-5408-8201",""
"053810","㈱オーシマ小野商事　埼玉営業所","","","","","","329-4402","栃木県栃木市大平町土与215","0282-22-4188",""
"054400","ニッペホームプロダクツ㈱","","","","","","140-0004","東京都品川区南品川４－１－１５　日本ペイント㈱内　第２事務所","03-3740-1132",""
"055610","㈱西川園","","","","","","283-0802","千葉県東金市東金１２０４","0475-52-4104",""
"056880","高橋食器㈱","","","","","","111-0051","東京都台東区蔵前４－１３－１　蔵前タカハシビル２Ｆ","03-3866-0006",""
"057210","㈱あらた　神奈川センター","","","","","","250-0117","神奈川県南足柄市塚原字上河原３７０－４","0465-71-0123",""
"058100","柏木商事㈱","","","","","","174-0043","東京都板橋区坂下３丁目３７番７号","03-5970-0008",""
"058460","東京砂糖㈱","","","","","","161-0033","東京都新宿区下落合３－１６－１５","03-3952-1356",""
"058880","㈱ヤマムロ","","","","","","156-0057","東京都世田谷区上北沢５－７－２","03-3329-1111",""
"060090","滝沢ハム㈱　足立営業所","","","","","","123-0845","東京都足立区西新井本町２－５－１２","03-3854-2141",""
"060320","お茶の丸幸㈱","","","","","","154-0023","東京都世田谷区若林１－１８－１３","03-3413-3631",""
"061180","国分関信越㈱　第一支社　茨城支店","","","","","","315-0002","茨城県石岡市柏原6-4","0299-27-5516",""
"061500","㈱石野商会","","","","","","187-0011","東京都小平市鈴木町１－４２７","042-321-0168",""
"061840","中山福㈱","","","","","","242-0001","神奈川県大和市下鶴間２７５２","0462-61-9361",""
"062360","㈱リョーショクペットケア","","","","","","230-0052","神奈川県横浜市鶴見区生麦４－５－１１　新興プランテックビル２Ｆ","045-508-3388",""
"062470","㈱トップマン","","","","","","673-0404","兵庫県三木市大村５８－１０","0794-82-8846",""
"062550","㈱川路商店","","","","","","229-0024","神奈川県相模原市青葉１－１４－２０","0427-52-9123",""
"062790","㈱小山園","","","","","","158-0093","東京都世田谷区上野毛２－２３－２２","03-3709-5521",""
"062990","㈱コマリヨー","","","","","","453-0012","愛知県名古屋市中村区井深町１５－１５","052-451-8118",""
"063060","㈲岡田雄三郎商店","","","","","","955-0055","新潟県三条市塚野目５－１－５７","0256-32-3639",""
"066180","戎フード㈱　","","","","","","530-0043","大阪府大阪市北区天満４－４－１６","06-6356-1009",""
"067210","㈱船橋魚類","","","","","","273-0001","千葉県船橋市市場１－８－１　船橋市中央卸売市場内","047-460-6660",""
"067640","㈱オーシマ小野商事","","","","","","311-3501","茨城県行方市芹沢９２１－６８","0299-55-4111",""
"068420","アイリスオーヤマ㈱","","","","","","981-1532","宮城県角田市小坂上小坂１番地","0224-68-3421",""
"068430","金子金物株式会社","","","","","","310-0852","茨城県水戸市笠原町644-1","029-243-4131",""
"074140","廣瀬無線電機㈱","","","","","","101-0021","東京都千代田区外神田１－１０－５","03-3251-2884",""
"075250","㈱ココロ","","","","","","205-8556","東京都羽村市神明台　４－９－１","042-530-3911",""
"075330","国分首都圏㈱　","","","","","","103-8241","東京都中央区日本橋１－１－１","03-3276-4107",""
"078630","㈱エフ・アール・シー","","","","","","194-0035","東京都町田市忠生４－１１－８","042-793-7740",""
"086280","㈱カネタ・ツーワン　郡山支店","","","","","","963-8681","福島県郡山市喜久田町卸１－９７－１","023-631-2621",""
"088980","ナショナル物産㈱","","","","","","106-0047","東京都港区南麻布４－５－２","03-3442-3181",""
"089680","㈲かわいち","","","","","","362-0022","埼玉県上尾市瓦葺２７１６－４－１０１","048-720-5600",""
"090620","日本リカー㈱","","","","","","103-0016","東京都中央区日本橋小網町２－５　キリン日本橋ビル3Ｆ","03-5643-9773",""
"092660","OKAINTER㈱","","","","","","102-0093","東京都千代田区平河町1-8-8-101","03-6256-8280",""
"093040","㈱市場ネットワーク","","","","","","135-0061","東京都江東区豊洲６-５-１　㈲オオハシ商店　気付","03-6633-4087",""
"093160","㈱丸井スズキ","","","","","","121-8611","東京都足立区南花畑４－１７－１５","03-3850-2201",""
"094280","㈱サツキエンフーズ","","","","","","333-0823","埼玉県川口市石神８２９","048-298-2211",""
"098250","㈱西川","","","","","","299-5234","千葉県勝浦市勝浦391","0470-70-1511",""
"100660","両毛ヤクルト販売㈱","","","","","","326-0033","栃木県足利市花園町２５","0284-42-8960",""
"105700","㈱若草食品","","","","","","635-0818","奈良県北葛城郡広陵町南１７８","07455-7-1110",""
"105850","㈱キット","","","","","","124-0023","東京都葛飾区東新小岩２－１９－３","03-5698-6011",""
"107070","鈴木青果㈲","","","","","","120-0042","東京都足立区千住龍田町２８－２０","03-3882-5736",""
"107560","㈱アドパックセンター","","","","","","162-0801","東京都新宿区山吹町１３１","03-3260-8301",""
"111470","㈱神酒連","","","","","","241-0002","横浜市旭区上白根２－６４－６","045-955-5951",""
"111700","パーク商事㈱","","","","","","197-0832","東京都あきる野市上代継６８－１番地","0425-58-0151",""
"111800","坂本商事㈱","","","","","","402-0001","山梨県都留市田野倉４４８","0554-46-1717",""
"112260","ライスフレンド㈱","","","","","","538-0044","大阪府大阪市鶴見区放出東3-7-3","06-6961-5751",""
"112650","㈱濱富海苔","","","","","","143-0016","東京都大田区大森北２－５－９","03-3761-5123",""
"114940","㈱モトックス","","","","","","577-0802","大阪府東大阪市小阪本町１丁目６－２０","06-6725-8730",""
"116020","㈱東京ドーナツ","","","","","","356-0014","埼玉県上福岡市福岡新田６５－５","0492-62-2003",""
"116470","㈱ホームセンターセブン","","","","","","879-0471","大分県宇佐市大字四日市字松山１１２７－１","0978-33-1180",""
"119190","千田みずほ㈱","","","","","","240-0064","神奈川県横浜市保土ヶ谷区峰岡町１－２１","045-335-2613",""
"119510","資生堂販売㈱","","","","","","105-8310","東京都港区東新橋１－６－２","03-6218-5806",""
"125050","㈱ＧＳユアサ","","","","","","601-8520","京都府京都市南区吉祥院西ノ庄猪之馬場町１","075-312-0079",""
"127490","㈱煙草屋安兵衛","","","","","","243-0018","神奈川県厚木市中町３丁目３－３","046-294-1122",""
"127730","㈱Ｍ＆Ｃ","","","","","","733-0833","広島県広島市西区商工センター1丁目3番4号　広島共和物産㈱内　2階","082-270-5693",""
"130000","㈱アクロス","","","","","","545-0023","大阪府大阪市阿倍野区王子町１－５－１８　スミヤビル２　１Ｆ","06-6627-3123",""
"132830","㈱東邦システムサービス","","","","","","155-0033","東京都世田谷区代田１－３０－１７","03-3919-7814",""
"133240","㈲広田屋商店","","","","","","143-0025","東京都大田区南馬込１丁目５６番３号","03-3775-1682",""
"133320","国分西日本㈱　松山支店","","","","","","791-0214","愛媛県東温市南野田字若宮　７４－９","089-955-0980",""
"133820","富士甚醤油㈱　松山支店","","","","","","791-1102","愛媛県松山市来住町１１９３－１","089-976-7707",""
"135620","㈲仲村商店","","","","","","338-0833","埼玉県さいたま市桜区桜田3-3-1　埼玉中央市場　内","048-749-1356",""
"137260","太海㈱","","","","","","135-0061","東京都江東区豊洲６-６-３　ホウスイ豊洲ビル７Ｆ","03-6633-5461",""
"151370","国分首都圏㈱　","","","","","","103-8241","東京都中央区日本橋１－１－１","03-3276-4107",""
"281220","株式会社ニーズ","","","","","","359-0001","埼玉県所沢市下富774-1","0429-35-3585",""
"155060","㈲はら屋","","","","","","693-0044","島根県出雲市荒茅町２８０８－１番地","0853-28-3000",""
"155800","三陽物産㈱　東京支店","","","","","","101-0024","東京都千代田区神田和泉町１－８－１１","03-5821-1348",""
"156440","イセ食品㈱","","","","","","365-0054","埼玉県鴻巣市大間4-1-47","048-540-7662",""
"157130","㈱ツジヤ","","","","","","520-3433","滋賀県甲賀郡甲賀町大原市場９－１","0748-88-2234",""
"158370","㈱明祥","","","","","","135-0007","東京都江東区新大橋１丁目８－７","03-3632-0171",""
"158540","中部飼料㈱","","","","","","222-0033","神奈川県横浜市港北区新横浜３-２０-８　ベネックスＳ-３　８階","045-577-0064",""
"158610","三星商事㈱","","","","","","550-0015","大阪市西区南堀江1丁目12番19号　（四ツ橋スタービル4階）","06-6543-3903",""
"160430","㈱ミレジム","","","","","","101-0048","東京都千代田区神田司町２－１３　神田第４アメレックスビル","03-3233-3801",""
"160560","日進ワールドデリカテッセン","","","","","","106-0044","東京都港区東麻布３－６－１１","03-3583-4586",""
"161440","㈱アリスタ木曽","","","","","","799-1505","愛媛県今治市東村５－２１６","0898-48-6578",""
"161760","三菱食品㈱　第一営業本部","","","","","","112-8778","東京都文京区小石川１-1-1　文京ガーデンゲートタワー16階","03-5801-0524",""
"162400","ミタニコーポレーション㈱","","","","","","598-0047","大阪府泉佐野市りんくう往来南２－２　りんくうエルガビル８Ｆ","0724-69-1660",""
"163230","㈱関口　松本支店","","","","","","399-0702","長野県塩尻市大字広丘野村字角前１９１１","0263-87-4522",""
"163300","㈲篠塚商店","","","","","","287-0002","千葉県香取市北１－２－１","0478-54-6113",""
"163400","㈱ブルボン","","","","","","945-8611","新潟県柏崎市駅前1-3-1","0257-23-5075",""
"163410","㈲川久保米穀","","","","","","399-0033","長野県松本市大字笹賀７０７５－１","0263-57-2627",""
"163530","㈱外林","","","","","","721-0954","広島県福山市卸町２－６","0849-20-3777",""
"163590","㈱京都タンパク","","","","","","612-8244","京都府京都市伏見区横大路千両松町２００","075-622-3161",""
"163650","守谷織物㈱","","","","","","198-0043","東京都青梅市千ヶ瀬町４－３２８－２","0428-24-5050",""
"163730","㈱サノテック","","","","","","416-0909","静岡県富士市松岡３１５－１","0545-65-1122",""
"163850","㈱マルイチ産商　長野支店","","","","","","381-0192","長野県長野市若穂川田字外新田3800番地12-1","026-085-4458",""
"163900","㈱椿屋","","","","","","329-0604","栃木県河内郡上三川町大字上郷　２２１０－１０","0285-56-0141",""
"164250","㈱関口　松本支店","","","","","","399-0702","長野県塩尻市大字広丘野村字角前１９１１","0263-87-4522",""
"164310","川橋園製茶場","","","","","","610-0311","京都府京田辺市草内犬伏１６","0774-62-1464",""
"164550","㈱三王商会","","","","","","125-8526","東京都葛飾区東金町1-13-6","03-3607-7078",""
"164590","カモ井食品工業㈱","","","","","","710-8678","岡山県倉敷市中島１１３８","086-465-3040",""
"164940","㈱リーブコーポレーション","","","","","","302-0034","茨城県取手市戸頭２－６－３","0297-70-2977",""
"166210","㈱イトウアンドカンパニーリミテッド","","","","","","491-0831","愛知県一宮市森本５－１７－２７","0586-71-1925",""
"166240","吉田商事","","","","","","252-0801","神奈川県藤沢市長後７０７","0466-44-6101",""
"166670","㈱ミツワ","","","","","","263-0002","千葉県千葉市稲毛区山王町３３０－２３","043-423-4456",""
"168850","伊藤ハムデイリー㈱","","","","","","010-1415","秋田県秋田市御所野湯本２-１-２　㈱秋田物流センター御所野湯本内","018-853-0462",""
"169490","㈱シー・アール・エフ","","","","","","150-0013","東京都渋谷区恵比寿４-１０-１３　明和ニューマンション308","03-6450-4431",""
"169680","㈲井形商事","","","","","","300-3265","茨城県つくば市長高野１９７９","0298-64-0757",""
"169690","㈱スミノエ","","","","","","141-0031","東京都品川区西五反田２－３０－４　ＢＲ五反田ビル４Ｆ","03-5434-6725",""
"169720","佐藤製薬㈱","","","","","","107-0051","東京都港区赤坂１－５－１０　ＡＨＣ２ビル","03-5412-7362",""
"169730","㈱伊藤園　千葉支店","","","","","","263-0015","千葉県千葉市稲毛区作草部町５５５－１","043-285-1191",""
"169740","クラシエ薬品㈱　東京ヘルスケア支店","","","","","","103-0027","東京都中央区日本橋堀留町１－１１－１２　ＴＫ堀留ビル２Ｆ","03-5847-0820",""
"169840","白木屋輪業㈱","","","","","","260-0025","千葉県千葉市中央区問屋町１３－４","043-241-8081",""
"169990","㈱ダックビル","","","","","","133-0051","東京都江戸川区北小岩４－２０－１５","03-3671-2154",""
"170480","京セラインダストリアルツールズ販売㈱","","","","","","468-8512","愛知県名古屋市天白区久方１－１４５－１","052-807-1613",""
"174320","アメリカンデイールスコーポレーション㈱","","","","","","143-0006","東京都大田区平和島３－４－１　東京団地倉庫㈱　管理棟内６Ｆ","03-5763-5917",""
"174520","㈱ヤグチ","","","","","","105-0022","東京都港区海岸２－１－２１","03-3798-0811",""
"175020","国分東北㈱　秋田支店","","","","","","010-1415","秋田県秋田市御所野湯本6-1-1　北東北福山通運㈱秋田支店内","018-827-3081",""
"177080","㈱せきや","","","","","","010-0921","秋田県秋田市大町１－４－２２","018-862-5477",""
"190660","㈱プラスワンショップ","","","","","","116-0001","東京都荒川区町屋１－４－４","03-3893-0002",""
"191620","三菱食品㈱","","","","","","379-2104","群馬県前橋市上西大室町1257-2","027-268-5800",""
"192550","㈱富井","","","","","","270-2251","千葉県松戸市金ヶ作４０８－３２８　ちば物産五香店２Ｆ","047-385-1031",""
"196250","㈱金繁嶋村","","","","","","125-0035","東京都葛飾区南水元１－１８－１０","03-3609-2727",""
"196620","㈱ボン・サンテ","","","","","","136-0076","東京都江東区南砂2-36-11　プライムタワー東陽町4F","03-6458-7433",""
"197710","石神井丸正食品㈱","","","","","","177-0041","東京都練馬区石神井町３－２５－１","03-5372-3811",""
"197790","ミレー・マウンテン・グループ・ジャパン㈱","","","","","","153-0063","東京都目黒区目黒２－１０－１１　目黒山手プレイス４階","03-6682-5005",""
"198080","㈲仲村商店","","","","","","174-0062","東京都板橋区富士見町２７－１７","03-3963-0533",""
"198670","銀河フーズ㈱","","","","","","025-0093","岩手県花巻市南川原町１９１","0198-24-4341",""
"199100","㈱マリモ","","","","","","497-0013","愛知県あま市七宝町川部出屋敷６０番","052-445-1260",""
"199200","イセフアーム㈱","","","","","","311-3153","茨城県東茨城郡茨城町上飯沼２－２６４","029-219-0051",""
"199720","㈱ＳＴＲＥＡＭ","","","","","","110-0015","東京都台東区東上野１－６－１０　ＡＲＴビル３Ｆ","03-3833-7277",""
"203010","福島県南酒販㈱","","","","","","963-8863","福島県郡山市字菜根屋敷２０－１","024-932-3250",""
"204140","㈱ホンマ製作所","","","","","","950-1237","新潟県新潟市南区北田中８０１－８","025-362-1235",""
"207200","全農チキンフーズ㈱　戸田営業所","","","","","","335-0036","埼玉県戸田市早瀬1丁目12番7号","048-421-8804",""
"207400","米久㈱","","","","","","410-0011","静岡県沼津市岡の宮寺林１２５９","055-929-2994",""
"207710","アイリスオーヤマ㈱","","","","","","981-1532","宮城県角田市小坂上小坂１番地","0224-68-3421",""
"214200","萩原㈱","","","","","","710-8501","岡山県倉敷市西阿知町西原８８４","086-465-6017",""
"218640","㈱塙屋","","","","","","309-1615","茨城県笠間市金井１１８","0296-72-6041",""
"219500","ナガイ㈱","","","","","","462-0016","愛知県名古屋市北区西味鋺１－８０２","052-901-8101",""
"219800","伊藤正㈱","","","","","","430-0919","静岡県浜松市中区野口町４８６","053-461-4819",""
"221770","㈱魚次","","","","","","274-0063","千葉県船橋市習志野台３－１７－７","047-464-5061",""
"221800","㈱根岸商店","","","","","","270-1432","千葉県白井市冨士４９－２","047-443-1760",""
"222770","国分首都圏㈱　","","","","","","103-8241","東京都中央区日本橋１－１－１","03-3276-4107",""
"222810","㈱伊藤園　小諸支店","","","","","","384-0093","長野県小諸市和田５９２－１","0267-24-2011",""
"224100","国分首都圏㈱　","","","","","","103-8241","東京都中央区日本橋１－１－１","03-3276-4107",""
"224230","㈱ダイショー　東京営業所","","","","","","130-0014","東京都墨田区亀沢１－１７－３","043-209-3650",""
"225700","㈲エーワン","","","","","","110-0005","東京都台東区上野５－６－１１　サンキビル５Ｆ","03-3833-8990",""
"228260","㈱十字屋商店","","","","","","213-0001","神奈川県川崎市高津区溝口２丁目１２－１２","044-811-1917",""
"228950","㈱シンセーインターナショナル","","","","","","564-0043","大阪府吹田市江坂町２－３－１　江坂グランドビル４階","06-6385-1800",""
"244410","㈱イマイ","","","","","","331-0802","埼玉県さいたま市北区本郷町１０８８","048-664-6873",""
"244730","西沢商会","","","","","","388-8006","長野県長野市篠ノ井御幣川３９２","026-293-0172",""
"245290","国分九州株式会社","","","","","","891-1305","鹿児島県鹿児島市宮之浦町３９２６－２","099-294-4386",""
"245890","東京食品㈱","","","","","","381-2242","長野県長野市青木島町青木島乙６２０－５","026-284-8141",""
"245930","丸富衛材株式会社","","","","","","417-0847","静岡県富士市比奈６５０－１","0545-34-0840",""
"270500","国分東北㈱","","","","","","983-0852","宮城県仙台市宮城野区榴岡5-1-35　三共仙台東ビル5階","022-742-2436",""
"247140","㈱ドウシシャ","","","","","","542-8525","大阪府大阪市中央区東心斎橋１－５－５","06-6121-5679",""
"247440","三井食品㈱　","","","","","","104-8277","東京都中央区八重洲２－７－２　八重洲三井ビルディング","03-3551-6099",""
"248020","㈱カンパーニュ","","","","","","254-0052","神奈川県平塚市平塚３－１２－１８","0463-37-3720",""
"248710","㈱浅麓","","","","","","370-0852","群馬県高崎市中居町３－３０","027-352-4122",""
"250040","日本ﾊﾟｰｿﾈﾙｾﾝﾀｰ㈱　","","","","","","650-0015","兵庫県神戸市多聞通5-3-8 UCC第二ビル1F","078-304-8960",""
"250200","東亜商事㈱","","","","","","101-8530","東京都千代田区神田司町２－１９","03-3292-8471",""
"251630","㈱ジャパンネットラン","","","","","","110-0014","東京都台東区北上野２-３１-８　ツバタビル３Ｆ","03-5830-6373",""
"252830","㈱ｍ－Ｇｒａｃｅ","","","","","","171-0014","東京都豊島区池袋3-70-19　ウィング・ビートビル3F","03-6907-0951",""
"260700","㈱伊藤園　浅草支店","","","","","","111-0032","東京都台東区浅草５－１－１３","03-5808-6511",""
"263340","㈲やおかつ","","","","","","331-0074","埼玉県さいたま市西区宝来１３７８－４０","048-623-5488",""
"272270","㈱ウェルファムフーズ","","","","","","102-0074","東京都千代田区九段南２－１－３０","03-3515-9000",""
"272890","アツギ㈱　東日本支店","","","","","","243-0419","神奈川県海老名市大谷北１-３-２","046-235-8109",""
"273140","フジパン㈱　東北販売部","","","","","","989-2422","宮城県岩沼市空港南３－２－３４","0223-24-1241",""
"273250","岩手繊維㈱","","","","","","020-8611","岩手県紫波郡矢巾町　流通センター南１－７－１６","019-638-2111",""
"400230","広島共和物産㈱","","","","","","733-0833","広島県広島市西区商工センター　１－３－４","082-277-5340",""
"400340","㈱ベッセル","","","","","","537-0001","大阪府大阪市東成区深江北２－１７－２５","06-976-5265",""
"401240","㈲篠塚商店","","","","","","287-0002","千葉県香取市北１－２－１","0478-54-6113",""
"401310","稲岡金物㈱","","","","","","673-0400","兵庫県三木市広末１－９－１９","07948-2-3200",""
"404010","㈲勢州屋","","","","","","964-0912","福島県二本松市上竹２－２６８","0243-22-3535",""
"420110","三菱食品株式会社","","","","","","379-2104","群馬県前橋市西大室町１２５７-２","027-268-5800",""
"500010","株式会社ペスカリッチ","","","","","","104-0044","東京都中央区明石町２-１　松屋明石町本館ビル２Ｆ","03-5546-1351",""
